OBP Difference,AVG Difference,SLG Difference,OPS Difference,ERA Difference,WHIP Difference,K9 Difference,BB9 Difference,Home Recency Adv,Run Differential,Head to Head,Home Win
0.013,0.024,-0.015,-0.003,0.35,-0.555,-1,2.7,-5,-89,-1,1
-0.009,0.015,-0.004,-0.014,-4.26,-0.867,-0.7,0.7,-1,-56,0,1
-0.055,-0.048,-0.122,-0.176,1.58,-0.005,-1.9,0.7,2,44,1,0
-0.022,0.011,-0.016,-0.039,-2.23,-0.47,-0.6,-1.1,-5,-97,0,1
-0.031,-0.008,-0.001,-0.032,-3.76,-1.645,5.3,-0.1,-1,21,0,1
-0.009,-0.026,-0.047,-0.055,-2.03,-0.337,-1.7,0.5,-1,-120,0,0
-0.018,-0.015,0.021,0.002,1.45,0.386,0.9,0.6,-1,61,0,1
-0.019,-0.04,-0.013,-0.033,-4.44,-3.699,9.6,3.7,0,71,0,0
-0.008,0.012,0.005,-0.004,-3.41,-1.389,2.7,0.1,0,-68,1,1
-0.053,-0.021,-0.119,-0.172,4.49,1.617,4.3,2,-1,-105,-3,0
-0.012,0.026,0.02,0.008,0.26,-0.712,0.3,2.9,-4,-43,-1,0
-0.034,-0.017,-0.121,-0.155,-1.25,-0.908,-4.3,0,2,-69,0,1
0.043,0.046,0.054,0.097,-4.22,-2.544,-2.5,2.2,0,12,2,1
-0.046,-0.028,-0.094,-0.141,-0.19,-0.25,-2.6,-0.6,-4,-85,0,0
-0.02,-0.004,-0.049,-0.07,-2.25,-2.667,7.5,1.8,-1,-40,0,1
-0.038,0.01,-0.041,-0.079,-1.99,0.174,-5.9,-1,-5,-85,-1,0
-0.038,-0.015,-0.083,-0.12,-1.83,-3.512,-5.4,1,-3,-130,-1,0
-0.003,0.001,0.053,0.05,0.06,0.097,0.1,-2,0,75,1,1
0.04,0.045,0.114,0.155,-0.39,-0.066,0.1,1.5,0,33,0,1
-0.027,-0.026,0.009,-0.018,6.38,2.162,0.3,-1,0,33,0,0
-0.028,-0.034,-0.025,-0.053,3.21,2.343,-4,-5.6,-1,94,-3,1
0.041,0.03,0.013,0.055,4.27,0.489,1.3,-0.6,3,42,0,0
-0.016,-0.044,-0.043,-0.059,-4.15,-4.731,11.1,6.2,-3,43,0,1
-0.05,-0.035,-0.079,-0.128,2.89,0.725,0.6,-0.1,-2,-54,0,0
0.001,0,0.025,0.024,0.96,-0.492,0,-1.9,0,36,0,0
-0.024,-0.014,-0.062,-0.085,-1.71,-1.211,0.5,2.1,-1,-45,0,1
0.032,-0.024,-0.005,0.028,-3.85,-1.524,3.1,2.5,2,-36,0,1
0.018,0.011,0.003,0.021,2.13,0.692,0.2,-1.9,-3,14,0,0
0.04,0.012,0.005,0.045,-4.04,-2.276,1.3,1.6,2,-41,0,1
-0.001,-0.004,-0.079,-0.078,-3.08,-1.497,-0.6,1.7,-2,-46,0,0
0.026,0.054,0.009,0.034,2.75,0.918,0.8,2.8,1,60,0,0
0.011,-0.013,0.081,0.092,1.63,0.59,0.6,0.2,0,-13,0,0
0.05,0.049,0.068,0.118,5,2.585,-1.8,-3.1,3,110,0,1
0.011,0.032,0.102,0.113,-3.19,-1.029,-7.4,-0.3,-1,37,0,1
0,0.012,0.058,0.058,3.43,2.571,6.3,-0.6,1,23,0,1
0.012,-0.003,0.003,0.015,1,1.302,-1.5,-2.3,-1,100,-3,1
0.013,-0.004,-0.029,-0.015,-1.7,-0.393,5.2,-2.2,3,40,0,1
-0.032,-0.043,0.001,-0.031,3.46,0.745,0.4,-0.2,-4,45,0,0
-0.006,0.001,0.019,0.015,1.27,0.077,-2,-1.7,-2,-58,0,0
0.025,0.019,0.069,0.095,0.57,-0.392,-0.7,1.2,0,28,0,0
-0.004,0.005,-0.029,-0.033,-2.13,-2.305,4.2,1.9,-1,-39,0,0
0.004,-0.043,-0.031,-0.027,2.36,-0.532,1.1,-2.4,3,-32,0,1
0.009,0.014,-0.012,-0.004,6.92,5.077,-6.2,-4.8,-5,12,0,0
-0.016,-0.011,-0.038,-0.054,-0.92,-0.718,1.1,2.3,2,-39,0,0
-0.015,-0.018,-0.077,-0.092,-1.68,-0.102,2.6,-0.6,-2,-50,0,1
-0.021,0.011,-0.003,-0.023,-1.25,0.386,1.6,-0.7,1,52,0,0
-0.015,-0.014,0.002,-0.013,-4.74,-4.378,6.9,2.9,0,-17,0,1
0.056,0.056,0.169,0.225,0.8,-1.135,-0.6,-0.1,3,112,0,0
0.074,0.062,0.128,0.201,-2.98,-0.854,-0.5,0.6,1,39,1,0
0,0.013,0.048,0.048,1.56,-0.913,1.3,0.8,0,25,-1,1
0.047,0.041,0.077,0.123,0.54,-0.492,-2.4,-0.5,-1,104,-2,0
0.028,0.024,-0.004,0.024,4.03,1.288,-3,-2,2,44,-1,0
0.034,0.002,0.02,0.054,0.59,1.045,-1.7,-2.3,-3,39,1,0
-0.009,0.003,-0.004,-0.013,-1.57,-0.688,0.9,1.6,-4,-64,-1,1
0.009,0.009,0.061,0.07,-0.07,-0.453,-1.3,2.4,-1,16,-1,0
-0.052,-0.033,-0.123,-0.176,-6.88,-1.657,-0.7,-0.7,0,-41,1,0
0.024,0.023,0.058,0.082,-6.1,-4.354,8.3,2.2,3,-26,1,0
0.036,0.018,0.053,0.089,-6.46,-5.184,9.1,4.4,-5,10,-1,1
0.008,-0.002,-0.002,0.006,-5.59,-1.818,0.6,2.7,4,-57,1,0
0.019,0.003,-0.086,-0.067,-2.46,-2.258,-5.4,1.2,-3,-48,-1,1
-0.025,-0.015,-0.054,-0.079,-3.88,-1.564,-4.8,-0.5,1,50,-1,1
0.016,-0.01,0.055,0.071,3,2.75,1.5,-6.8,0,-13,-1,1
0.054,0.041,0.159,0.213,-5.85,-3.3,-4.6,6.3,3,110,1,1
0.047,0.058,0.092,0.14,3.33,2.526,4.5,-0.6,3,66,-1,1
-0.012,0.002,-0.01,-0.022,3.59,1.69,0.1,1.3,3,65,0,0
-0.001,0.02,0.009,0.008,-0.29,0.655,6.2,-2.5,-4,-26,0,1
-0.033,-0.035,-0.013,-0.044,0.44,-0.329,4.5,1,-2,53,3,1
-0.001,-0.046,0.009,0.008,-0.05,1.71,0.9,-7.6,2,10,0,0
0.044,0.046,0.094,0.138,-0.31,-0.232,-2.4,0.5,2,-8,0,1
-0.012,-0.002,-0.082,-0.094,-2.63,-0.757,-5.5,-1.2,0,-86,0,0
-0.021,-0.034,-0.059,-0.08,4.22,1.509,3.6,-3.2,-2,23,-1,0
-0.028,-0.019,-0.025,-0.053,-0.71,0.209,-4.7,-3.1,-2,-12,0,1
0.014,0.006,-0.001,0.011,0.21,0.055,-0.2,0.2,2,127,0,1
-0.016,-0.035,-0.041,-0.057,0.35,0.966,5.2,-2.2,0,-74,0,0
0.035,0.054,0.091,0.126,-9.8,-2.27,-4.1,-1.1,1,72,-1,0
-0.008,-0.033,0.01,0.002,1.67,-0.272,-1.8,0.3,-1,31,0,1
-0.039,-0.027,-0.072,-0.112,1,1.012,1.2,-3.7,1,61,0,0
-0.008,0.005,-0.012,-0.021,-0.46,-0.316,0,0.4,2,-26,0,1
-0.008,0.015,-0.068,-0.076,1.77,-0.539,2.8,3.1,-4,-14,0,0
-0.003,0.015,0.036,0.033,0.07,1.598,-0.8,-3.3,-1,-49,0,1
