Gameid,Home,Visitor,Date,Home Wins,Visitor Wins,Home Losses,Visitor Losses,Home Total Runs Difference,OBP Difference,AVG Difference,SLG Difference,OPS Difference,ISO Difference,Hits Difference,Strikeouts Difference,Walks Difference,ERA Difference,WHIP Difference,K9 Difference,BB9 Difference,Home Recency Adv,Run Differential,Head to Head,Home Win
20230419WASBAL,WAS,BAL,20230419,5,10,12,7,-25.0,0.0040000000000000036,0.030000000000000027,-0.03999999999999998,-0.03500000000000003,-0.07,2,-37,-27,-3.07,-0.9059999999999997,0.1999999999999993,0.6999999999999993,-2,-29.0,-1,0
20230419BOSMIN,BOS,MIN,20230419,9,10,9,7,0.0,0.03200000000000003,0.031,-0.04099999999999998,-0.009000000000000008,-0.07199999999999998,11,-40,1,-4.08,-2.4899999999999998,-3.3000000000000007,2.8000000000000003,0,-14.0,1,0
20230419CHAPHI,CHA,PHI,20230419,7,7,11,11,-30.0,-0.04999999999999999,-0.043999999999999984,-0.018000000000000016,-0.06800000000000006,0.025999999999999968,-51,-41,-16,2.0,0.15800000000000036,-0.7000000000000002,-0.5,0,-7.0,0,0
20230419DETCLE,DET,CLE,20230419,7,9,9,9,1.0,-0.02100000000000002,-0.016000000000000014,-0.01599999999999996,-0.03700000000000003,5.551115123125783e-17,-22,15,-26,-3.13,-0.681,1.6000000000000005,1.3000000000000003,1,-31.0,2,0
20230419HOUTOR,HOU,TOR,20230419,8,11,10,7,-2.0,-0.0040000000000000036,-0.03300000000000003,-0.05099999999999999,-0.05499999999999994,-0.01799999999999996,-28,26,15,0.2599999999999998,-1.1000000000000005,-1.4000000000000004,2.6999999999999997,-1,17.0,0,1
20230419KCATEX,KCA,TEX,20230419,4,11,14,6,-57.0,-0.015000000000000013,-0.010000000000000009,-0.010000000000000009,-0.026000000000000023,0.0,-5,15,2,-5.1,0.48900000000000077,-0.8000000000000007,-2.3999999999999995,-5,-76.0,-3,0
20230419NYAANA,NYA,ANA,20230419,10,9,7,8,6.0,-0.02200000000000002,-0.0010000000000000009,0.020999999999999963,-0.0010000000000000009,0.021999999999999964,1,21,4,-3.15,-1.2169999999999996,-0.5,3.4,1,7.0,-1,1
20230419OAKCHN,OAK,CHN,20230419,3,10,15,6,-49.0,-0.10099999999999998,-0.07000000000000003,-0.14,-0.242,-0.06999999999999998,-46,-5,-25,1.42,2.526,-9.0,-2.8,-6,-105.0,-2,0
20230419SEAMIL,SEA,MIL,20230419,8,13,10,5,-19.0,-0.06000000000000005,-0.065,-0.04700000000000004,-0.10699999999999998,0.01799999999999996,11,21,-9,1.2999999999999998,0.1280000000000001,-4.1,-0.09999999999999964,-2,-30.0,-2,0
20230420ARISDN,ARI,SDN,20230420,11,9,8,11,25.0,0.03500000000000003,0.08300000000000002,0.08799999999999997,0.123,0.004999999999999949,1,-31,-44,2.3499999999999996,0.8799999999999999,-3.000000000000001,-0.19999999999999973,3,3.0,0,0
20230420CHNLAN,CHN,LAN,20230420,11,9,6,10,-16.0,0.07300000000000001,0.09599999999999997,0.05099999999999999,0.124,-0.044999999999999984,42,-5,-12,-3.24,-0.5709999999999997,0.5,0.6000000000000001,3,20.0,1,0
20230420PHICOL,PHI,COL,20230420,8,5,11,14,40.0,0.032999999999999974,0.019999999999999962,0.039000000000000035,0.07100000000000006,0.019000000000000072,41,26,16,6.6499999999999995,3.01,1.3000000000000007,-3.8000000000000003,3,38.0,0,0
20230420PITCIN,PIT,CIN,20230420,12,7,7,11,0.0,-0.018000000000000016,0.0010000000000000009,0.067,0.049000000000000044,0.066,10,-34,-8,-6.28,-5.234,6.9,4.4,3,35.0,-1,1
20230420SFNNYN,SFN,NYN,20230420,6,12,11,7,-19.0,-0.030000000000000027,-0.006000000000000005,0.019000000000000017,-0.010000000000000009,0.025000000000000022,-9,14,-30,-1.3899999999999997,0.8700000000000001,-1.5,-2.3999999999999995,-4,-17.0,0,0
20230420BOSMIN,BOS,MIN,20230420,9,11,10,7,-6.0,0.025000000000000022,0.016000000000000014,0.015000000000000013,0.039999999999999925,-0.0010000000000000009,23,7,13,-0.41000000000000014,-1.0709999999999997,-0.20000000000000107,4.5,-1,-26.0,0,1
20230420NYAANA,NYA,ANA,20230420,11,9,7,9,7.0,-0.013999999999999957,-0.014000000000000012,-0.07100000000000001,-0.08500000000000008,-0.056999999999999995,-7,-5,-4,-1.37,0.3599999999999999,1.7000000000000002,-2.7,2,9.0,0,1
20230421ARISDN,ARI,SDN,20230421,11,10,9,11,23.0,0.08800000000000002,0.10599999999999998,0.15599999999999997,0.244,0.04999999999999999,11,-23,-32,-0.6200000000000001,1.1669999999999998,1.0999999999999996,-0.8999999999999999,1,-1.0,-1,1
20230421ATLHOU,ATL,HOU,20230421,14,9,5,10,-17.0,0.02799999999999997,0.02100000000000002,0.065,0.09299999999999997,0.043999999999999984,2,14,9,0.3999999999999999,-0.698,0.5,0.20000000000000018,2,13.0,0,0
20230421CHNLAN,CHN,LAN,20230421,11,10,7,10,-20.0,0.04099999999999998,0.06699999999999998,0.01200000000000001,0.05399999999999994,-0.054999999999999966,34,-30,-23,-2.87,-0.9140000000000001,-2.2,1.8,2,12.0,0,1
20230421MILBOS,MIL,BOS,20230421,14,10,5,10,21.0,0.0020000000000000018,-0.008000000000000007,-0.055999999999999994,-0.05400000000000005,-0.04799999999999999,7,35,18,1.3199999999999998,0.1889999999999996,-0.20000000000000107,-1.3999999999999995,2,32.0,0,0
20230421PHICOL,PHI,COL,20230421,8,6,12,14,35.0,0.03199999999999997,0.025999999999999968,0.063,0.09399999999999997,0.03700000000000003,44,48,15,-5.91,-0.7600000000000002,-1.0,-2.9000000000000004,2,28.0,-1,1
20230421PITCIN,PIT,CIN,20230421,13,7,7,12,1.0,-0.013000000000000012,0.009000000000000008,0.069,0.05700000000000005,0.06,-7,-49,-12,-2.44,-0.641,1.5,0.10000000000000009,4,37.0,0,1
20230421SFNNYN,SFN,NYN,20230421,6,13,12,7,-24.0,-0.046999999999999986,0.00899999999999998,0.008000000000000007,-0.038999999999999924,-0.0009999999999999731,-13,5,-50,-1.42,-1.895,7.6,0.0,-5,-27.0,-1,0
20230421ANAKCA,ANA,KCA,20230421,9,4,10,15,52.0,0.03999999999999998,0.024999999999999994,0.045999999999999985,0.08600000000000008,0.02099999999999999,-5,-21,6,6.17,3.5,-2.299999999999999,2.2,3,59.0,0,1
20230421BALDET,BAL,DET,20230421,11,7,7,10,12.0,0.05500000000000005,0.01999999999999999,0.030000000000000027,0.08599999999999997,0.010000000000000037,29,19,39,9.64,5.295,-7.4,-3.9,2,48.0,0,1
20230421MINWAS,MIN,WAS,20230421,11,5,8,13,30.0,-0.059,-0.06900000000000003,0.015000000000000013,-0.04499999999999993,0.08400000000000005,-43,26,-1,-0.5900000000000003,-0.7819999999999996,5.3,1.0999999999999999,2,42.0,0,0
20230421NYATOR,NYA,TOR,20230421,12,11,7,8,12.0,0.018000000000000016,-0.01100000000000001,-0.0020000000000000018,0.017000000000000015,0.009000000000000008,-39,-4,14,0.94,0.7999999999999998,2.0,1.4000000000000001,0,41.0,0,0
20230421SEASLN,SEA,SLN,20230421,8,8,11,11,4.0,-0.09600000000000003,-0.06200000000000003,-0.08900000000000002,-0.18499999999999994,-0.026999999999999996,-25,13,-25,2.8300000000000005,1.7320000000000002,-2.9000000000000004,-3.9000000000000004,-1,3.0,0,1
20230421TBACHA,TBA,CHA,20230421,16,7,3,12,82.0,0.07,0.046999999999999986,0.14699999999999996,0.21700000000000008,0.09999999999999998,27,-6,15,2.3099999999999996,1.282,-1.9999999999999991,-3.8000000000000003,4,109.0,0,1
20230421TEXOAK,TEX,OAK,20230421,12,3,6,16,72.0,-0.022999999999999965,0.009999999999999981,0.06399999999999995,0.041000000000000036,0.053999999999999965,11,-12,-13,1.38,-0.3879999999999999,1.5,2.8,7,129.0,0,0
20230422ARISDN,ARI,SDN,20230422,12,10,9,12,32.0,0.05400000000000005,0.10499999999999998,0.14399999999999996,0.19799999999999995,0.03899999999999998,37,-24,-43,-2.53,-3.797,7.6,5.1,2,17.0,0,0
20230422ATLHOU,ATL,HOU,20230422,14,10,6,10,-19.0,0.0,-0.026999999999999996,-0.008000000000000007,-0.008000000000000007,0.01899999999999999,-22,0,7,-4.41,-1.6630000000000003,0.20000000000000107,4.4,2,9.0,-1,0
20230422CHNLAN,CHN,LAN,20230422,12,10,7,11,-7.0,0.065,0.08299999999999999,0.018000000000000016,0.08299999999999996,-0.06499999999999997,44,-23,-11,-3.3899999999999997,-2.6959999999999997,2.8999999999999995,1.6999999999999997,3,38.0,1,0
20230422MILBOS,MIL,BOS,20230422,14,11,6,10,19.0,-0.0010000000000000009,0.0,-0.019000000000000017,-0.020000000000000018,-0.019000000000000017,4,39,19,3.0,0.4169999999999998,-0.5,0.0,1,28.0,-1,1
20230422PHICOL,PHI,COL,20230422,9,6,12,15,36.0,0.020000000000000018,0.023999999999999966,0.05400000000000005,0.07500000000000007,0.030000000000000082,15,20,4,3.8,3.797,-5.1,-2.5,4,30.0,0,1
20230422PITCIN,PIT,CIN,20230422,14,7,7,13,3.0,0.024999999999999967,0.03200000000000003,0.126,0.1509999999999999,0.09399999999999997,14,-15,1,7.93,4.25,4.2,-3.4,4,41.0,1,1
20230422SFNNYN,SFN,NYN,20230422,6,14,13,7,-31.0,-0.0010000000000000009,0.0020000000000000018,0.0020000000000000018,0.0010000000000000009,0.0,-38,4,-27,1.2800000000000002,1.3709999999999996,0.9000000000000004,-2.4000000000000004,-6,-41.0,-2,1
20230422ANAKCA,ANA,KCA,20230422,10,4,10,16,54.0,0.09300000000000003,0.017000000000000015,0.044999999999999984,0.137,0.02799999999999997,-1,-19,22,-2.8200000000000003,-1.834,-0.7000000000000002,3.4,4,63.0,1,0
20230422BALDET,BAL,DET,20230422,12,7,7,11,13.0,0.038000000000000034,0.02100000000000002,0.07300000000000001,0.11099999999999999,0.05199999999999999,35,29,40,2.21,0.2230000000000003,-2.1999999999999993,-2.0,3,50.0,1,1
20230422CLEMIA,CLE,MIA,20230422,10,10,9,9,4.0,0.02100000000000002,-0.01999999999999999,-0.026000000000000023,-0.0050000000000000044,-0.006000000000000033,-11,-26,29,11.56,5.0840000000000005,1.0,0.0,-2,23.0,0,0
20230422MINWAS,MIN,WAS,20230422,11,6,9,13,29.0,0.02200000000000002,0.012999999999999984,0.10699999999999998,0.129,0.094,-20,29,2,6.859999999999999,2.4850000000000003,5.9,-2.1999999999999997,2,40.0,-1,0
20230422NYATOR,NYA,TOR,20230422,12,12,8,8,7.0,-0.016000000000000014,-0.036000000000000004,-0.032999999999999974,-0.04800000000000004,0.0030000000000000304,-51,-3,3,6.16,3.776,2.5999999999999996,-4.6,0,31.0,-1,1
20230422SEASLN,SEA,SLN,20230422,9,8,11,12,7.0,-0.055999999999999994,-0.033,-0.04199999999999998,-0.09800000000000009,-0.00899999999999998,4,40,-10,7.359999999999999,4.300000000000001,1.0,-0.7000000000000002,0,9.0,1,1
20230422TBACHA,TBA,CHA,20230422,17,7,3,13,83.0,0.08000000000000002,0.063,0.14199999999999996,0.22199999999999998,0.07899999999999996,38,-11,17,0.44999999999999996,-0.30100000000000016,-1.0999999999999996,-0.10000000000000053,4,111.0,1,1
20230422TEXOAK,TEX,OAK,20230422,12,4,7,16,71.0,-0.02899999999999997,-0.064,-0.12300000000000005,-0.15200000000000002,-0.05900000000000005,20,12,22,6.259999999999999,0.5920000000000005,4.6,-1.3000000000000007,5,127.0,-1,1
20230423ARISDN,ARI,SDN,20230423,12,11,10,12,30.0,0.02200000000000002,0.06400000000000003,0.03999999999999998,0.061999999999999944,-0.02400000000000005,-13,-62,-51,0.6000000000000001,-1.4629999999999996,0.8999999999999986,3.0000000000000004,1,13.0,-1,0
20230423ATLHOU,ATL,HOU,20230423,14,11,7,10,-22.0,-0.02300000000000002,0.0020000000000000018,0.014000000000000012,-0.009000000000000008,0.01200000000000001,-13,1,-15,2.6,0.528,-1.2999999999999998,-1.6,1,3.0,-2,0
20230423CHNLAN,CHN,LAN,20230423,12,11,8,11,-12.0,0.02799999999999997,0.06699999999999998,0.01200000000000001,0.04200000000000004,-0.054999999999999966,12,-54,-35,1.77,0.009999999999999787,0.0,2.4,1,28.0,0,0
